Treatment	Replicate	Leaf	Day	Sample_name	PS	CAM	CM	TD	CA	BFC	Bodo	Mites	Rotifers	FatCAM	Spinning_square	Nematodes	Mosquito_larvae	Hairy_flat	Large_bodo
P	8	T	4	P8T4	3159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	8	T	4	O8T4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	8	T	4	N8T4	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0
C	1	T	5	C1T5	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0
P	1	T	5	P1T5	32	0	0	0	20	0	12	0	0	0	0	0	0	0	0
O	1	T	5	O1T5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
N	1	T	5	N1T5	0	0	0	0	66	4	0	0	2	0	0	0	0	0	0
C	2	T	5	C2T5	945	0	2	0	0	0	0	0	0	0	0	0	0	0	0
P	2	T	5	P2T5	260	18	299.2	0	20	0	108.8	0	22	0	0	0	0	0	0
O	2	T	5	O2T5	24354	0	0	0	80	0	0	2	4	0	0	0	0	0	0
N	2	T	5	N2T5	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0
C	3	T	5	C3T5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	3	T	5	P3T5	8343	0	10	0	2	0	0	0	0	0	0	0	0	0	0
O	3	T	5	O3T5	0	0	0	0	14	0	2	2	2	0	0	0	0	0	0
N	3	T	5	N3T5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
C	4	T	5	C4T5	1620	0	0	0	0	0	0	0	10	0	0	0	0	0	0
P	4	T	5	P4T5	4887	0	0	0	0	0	149.6	0	0	0	0	0	0	0	0
O	4	T	5	O4T5	0	0	0	0	2	0	0	0	14	0	0	0	0	0	0
N	4	T	5	N4T5	14	0	0	0	0	0	58	0	0	0	0	0	0	0	0
C	5	T	5	C5T5	5724	28	0	0	0	0	0	4	24	0	0	0	0	0	0
P	5	T	5	P5T5	0	0	0	0	183.6	0	0	4	0	0	0	0	0	0	0
O	5	T	5	O5T5	904.4	0	0	0	0	0	0	0	4	0	0	0	0	0	0
N	5	T	5	N5T5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
C	6	T	5	C6T5	394.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	6	T	5	P6T5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
O	6	T	5	O6T5	0	0	0	0	0	0	20	0	4	0	0	0	0	0	0
N	6	T	5	N6T5	9288	0	0	0	70	0	176.8	2	2	0	0	0	0	0	0
C	7	T	5	C7T5	1237.6	0	0	0	44	0	0	0	40	0	0	0	0	0	0
P	7	T	5	P7T5	707.2	0	0	0	0	0	0	0	8	0	0	0	0	0	0
O	7	T	5	O7T5	374	0	2	0	2	0	0	2	0	0	0	0	0	0	0
N	7	T	5	N7T5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
